STANDARD_VALUE,ALogP,ALogp2,AMR,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,MW,AMW
49600000,-2.301,5.294601,58.0844,2,5,5,5,1,1,521.2566086,7.044008224
4940,-1.4477,2.09583529,99.5206,4,9,8,9,1,1,630.3305018,6.851418498
390,-2.2114,4.89028996,53.2037,6,6,6,6,2,3,436.2375449,7.151435162
25.12,-0.6935,0.48094225,61.6356,3,3,3,3,1,1,376.2514636,6.270857727
9.77,-1.0779,1.16186841,66.0277,4,4,3,4,0,0,402.2307282,6.70384547
5.13,-0.6008,0.36096064,62.4793,4,3,3,4,0,0,434.1761058,7.485794927
151.36,-0.6008,0.36096064,62.4793,4,3,3,4,0,0,434.1761058,7.485794927
346.74,-1.3969,1.95132961,64.1795,4,4,4,5,0,0,430.2256428,6.939123271
89.13,-0.685,0.469225,60.7537,4,5,5,7,0,0,445.2001563,7.420002606
52.48,-1.3659,1.86568281,68.9393,4,4,3,4,0,0,416.2463783,6.607085369
